"ид_события","ид_канала_данных","дата","время","тревожное","значение_датчика"
4524243389,120473,"2026-08-01","03:09:27",false,"28"
4524253385,120475,"2026-08-01","03:19:55",false,"29"
4524594432,120466,"2026-08-01","09:11:40",false,"25"
4524782574,120298,"2026-08-01","12:17:17",false,"28"
4524806333,120511,"2026-08-01","12:41:01",false,"28"
4524849847,120535,"2026-08-01","13:26:25",false,"26"
4524878401,120464,"2026-08-01","13:55:46",false,"25"
4525232731,120479,"2026-08-01","19:55:33",false,"29"
4525417965,120318,"2026-08-01","23:03:00",false,"25"
4524170285,171368,"2026-08-01","01:54:03",false,"28"
4524495994,2943,"2026-08-01","07:30:24",false,"28"
4524526904,9330,"2026-08-01","08:02:02",false,"01.01.1970 03:00:00"
3441312442,9330,"2026-08-01","08:02:02",false,Снято с охраны
4524528263,2943,"2026-08-01","08:03:23",false,"26"
4524528646,2961,"2026-08-01","08:03:46",false,"30"
4524529729,171368,"2026-08-01","08:04:52",false,"26"
4524530574,2943,"2026-08-01","08:05:45",false,"24"
4524532036,9357,"2026-08-01","08:07:18",false,"31"
4524532284,2961,"2026-08-01","08:07:34",false,"28"
4524534517,171368,"2026-08-01","08:09:51",false,"24"
4524535082,2957,"2026-08-01","08:10:29",false,"25"
4524536911,2879,"2026-08-01","08:12:18",false,"26"
4524537799,2985,"2026-08-01","08:13:11",false,"29"
4524540044,9340,"2026-08-01","08:15:36",false,"29"
4524547909,9357,"2026-08-01","08:24:00",false,"29"
4524548494,2961,"2026-08-01","08:24:35",false,"26"
4524549604,2907,"2026-08-01","08:25:49",false,"31"
4524554589,9330,"2026-08-01","08:30:57",false,"01.01.1970 03:00:01"
3441327230,9330,"2026-08-01","08:30:57",false,На охране
4524561671,2961,"2026-08-01","08:38:11",false,"28"
4524572237,9357,"2026-08-01","08:48:52",false,"31"
4524576196,2943,"2026-08-01","08:52:53",false,"26"
4524578136,2961,"2026-08-01","08:54:44",false,"30"
4524578794,2879,"2026-08-01","08:55:22",false,"28"
