"ид_канала_данных","тип_инж_системы","тип_датчика","тег_инженерной_системы","название_датчика","ид_объект"
120578,Охранная подсистема,КД АВ,"15-11.1.131.2.",КД АВ ПК28,20
120504,Пожарная охрана,Тепловой датчик,"15-11.1.104.2.",ТД ПК86-85,20
120298,Температурная подсистема,Датчик температуры,"15-11.1.4.1.","Темп. ВШ ПК88,5",20
120577,Пожарная охрана,Тепловой датчик,"15-11.1.131.1.",ТД ПК29,20
120494,Температурная подсистема,Датчик температуры,"15-11.1.99.255.",Темп. ПК87,20
120297,Охранная подсистема,Датчик движения,"15-11.1.4.2.","ОД ВШ ПК88,5",20
120493,Охранная подсистема,КД Дверь,"15-11.1.99.2.",КД дв.отс. ПК87,20
120285,Диспетчерский контроль,Состояние охраны,"15-11.1.4096.4095.",[Охранная зона]0: 0: Гагаринский тоннель,20
120580,Пожарная охрана,Тепловой датчик,"15-11.1.132.1.",ТД ПК29-30,20
120492,Пожарная охрана,Тепловой датчик,"15-11.1.99.1.",ТД ПК87,20
120584,Температурная подсистема,Датчик температуры,"15-11.1.133.255.",Темп. ВШ ПК29,20
120583,Охранная подсистема,КД Дверь,"15-11.1.133.2.",КД дв.отс. ПК29,20
120582,Пожарная охрана,Тепловой датчик,"15-11.1.133.1.",ТД ПК29-28,20
120495,Пожарная охрана,Тепловой датчик,"15-11.1.100.1.",ТД ПК87 в/к1,20
120616,Температурная подсистема,Датчик температуры,"15-11.1.145.255.",Темп. ПК3,20
120615,Пожарная охрана,Тепловой датчик,"15-11.1.145.1.",ТД ПК3-4,20
120497,Охранная подсистема,КД АВ,"15-11.1.101.1.",КД АВ ПК87,20
120309,Охранная подсистема,Датчик движения,"15-11.1.10.2.","ОД АВ ПК90,5 Гал. эт.1 ПК4",20
120572,Температурная подсистема,Датчик температуры,"15-11.1.129.255.",Темп. ПК31,20
120368,Температурная подсистема,Датчик температуры,"15-11.1.39.1.",Темп. ВШ ПК47,20
120571,Пожарная охрана,Тепловой датчик,"15-11.1.129.1.",ТД кам. ПК31,20
120501,Пожарная охрана,Тепловой датчик,"15-11.1.103.1.",ТД ПК87 в/к2,20
120367,Охранная подсистема,Датчик движения,"15-11.1.39.2.",ОД ВШ ПК47,20
120305,Охранная подсистема,Датчик движения,"15-11.1.8.2.","ОД ПК90,5 Гал. эт.2",20
120570,Температурная подсистема,Датчик температуры,"15-11.1.128.255.",Темп. ПК36,20
120500,Температурная подсистема,Датчик температуры,"15-11.1.102.255.",Темп. ПК87 в/к2,20
120366,Температурная подсистема,Датчик температуры,"15-11.1.38.1.","Темп. ПК47,5",20
120312,Температурная подсистема,Датчик температуры,"15-11.1.11.1.",Темп. ПК91,20
120499,Охранная подсистема,КД Дверь,"15-11.1.102.1.",КД дв. в/к1 ПК87,20
120569,Пожарная охрана,Тепловой датчик,"15-11.1.128.2.",ТД ПК34-32,20
120365,Охранная подсистема,Датчик движения,"15-11.1.38.2.","ОД ПК47,5",20
120311,Охранная подсистема,Датчик движения,"15-11.1.11.2.",ОД ПК91,20
120568,Пожарная охрана,Тепловой датчик,"15-11.1.128.1.",ТД ПК36-34,20
120608,Температурная подсистема,Датчик температуры,"15-11.1.142.255.",Темп. ПК9,20
120567,Температурная подсистема,Датчик температуры,"15-11.1.127.255.",Темп. ПК39,20
120565,Пожарная охрана,Тепловой датчик,"15-11.1.127.1.",ТД ПК39-38,20
120607,Пожарная охрана,Тепловой датчик,"15-11.1.142.2.",ТД ПК9-8,20
120566,Пожарная охрана,Тепловой датчик,"15-11.1.127.2.",ТД кам. ПК39,20
120606,Пожарная охрана,Тепловой датчик,"15-11.1.142.1.",ТД ПК9-10,20
120564,Температурная подсистема,Датчик температуры,"15-11.1.126.255.",Темп. ПК40,20
120491,Температурная подсистема,Датчик температуры,"15-11.1.98.255.",Темп. ПК90,20
120362,Температурная подсистема,Датчик температуры,"15-11.1.36.1.",Темп. ВШ ПК49,20
120563,Пожарная охрана,Тепловой датчик,"15-11.1.126.2.",ТД ПК40-39,20
120490,Пожарная охрана,Тепловой датчик,"15-11.1.98.1.","ТД ПК90,5",20
120361,Охранная подсистема,Датчик движения,"15-11.1.36.2.",ОД ВШ ПК49,20
120562,Пожарная охрана,Тепловой датчик,"15-11.1.126.1.",ТД ПК40-41,20
120674,Пожарная охрана,Состояние УИР-Р,"15-11.1.167.4095.",УИР-Р ПК106,20
120561,Температурная подсистема,Датчик температуры,"15-11.1.125.255.",Темп. ПК44,20
120480,Пожарная охрана,Тепловой датчик,"15-11.1.94.1.",ТД ПК90 Гал.ПК0 эт.1,20
120676,Пожарная охрана,Состояние УИР-Р,"15-11.1.169.4095.",УИР-Р ПК99,20
120560,Пожарная охрана,Тепловой датчик,"15-11.1.125.2.",ТД ПК43-44,20
120408,Температурная подсистема,Датчик температуры,"15-11.1.59.1.","Темп. люк ПК5,5",20
120675,Пожарная охрана,Состояние УИР-Р,"15-11.1.168.4095.",УИР-Р ПК100,20
120559,Пожарная охрана,Тепловой датчик,"15-11.1.125.1.",ТД ПК44-45,20
120483,Охранная подсистема,КД Дверь,"15-11.1.95.2.",КД дв.отс. ПК90 Гал.ПК0,20
120407,Охранная подсистема,Датчик движения,"15-11.1.59.2.","ОД люк ПК5,5",20
120678,Пожарная охрана,Состояние УИР-Р,"15-11.1.171.4095.",УИР-Р ПК91,20
120554,Температурная подсистема,Датчик температуры,"15-11.1.123.255.",Темп. ПК48,20
120482,Пожарная охрана,Тепловой датчик,"15-11.1.95.1.",ТД ПК90 Гал.ПК0 эт.1,20
